2025-05-10 21:52:07.778812 | DRY RUN | Would move: .gitignore | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\no_extension
2025-05-10 21:52:07.779754 | DRY RUN | Would move: components.json | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\JSON
2025-05-10 21:52:07.781035 | DRY RUN | Would move: INTERNSHIP REPORT - Copy.pdf | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\PDF
2025-05-10 21:52:07.781416 | DRY RUN | Would move: INTERNSHIP_FORM - Copy.pdf | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\PDF
2025-05-10 21:52:07.782887 | DRY RUN | Would move: mvnw.cmd | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\CMD
2025-05-10 21:52:07.783097 | DRY RUN | Would move: next-env.d.ts | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\TS
2025-05-10 21:52:07.783283 | DRY RUN | Would move: next.config.mjs | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\MJS
2025-05-10 21:52:07.783437 | DRY RUN | Would move: package-lock.json | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\JSON
2025-05-10 21:52:07.783586 | DRY RUN | Would move: package.json | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\JSON
2025-05-10 21:52:07.783727 | DRY RUN | Would move: piccccccc.jpg | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\JPG
2025-05-10 21:52:07.783931 | DRY RUN | Would move: pl.JPG | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\JPG
2025-05-10 21:52:07.784218 | DRY RUN | Would move: pom.xml | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\XML
2025-05-10 21:52:07.784528 | DRY RUN | Would move: pos.txt | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\TXT
2025-05-10 21:52:07.784826 | DRY RUN | Would move: postcss.config.mjs | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\MJS
2025-05-10 21:52:07.785023 | DRY RUN | Would move: ratecardly (1).sql | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\SQL
2025-05-10 21:52:07.785248 | DRY RUN | Would move: README.md | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\MD
2025-05-10 21:52:07.785503 | DRY RUN | Would move: tailwind.config.js | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\JS
2025-05-10 21:52:07.785734 | DRY RUN | Would move: tsconfig.json | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\JSON
2025-05-10 21:52:07.785935 | DRY RUN | Would move: video-bg.mp4 | From: C:\Users\DELL LATITTUDE 7280\Desktop\logic | To: C:\Users\DELL LATITTUDE 7280\Desktop\logic\MP4
